GO_Accession	GO_term_name	GO domain	P-value	Number	Size	gene_transcript_ID	gene_symbol
GO:0030326	embryonic limb morphogenesis	biological_process	0.01636046	4	50	ENSAPLT00000016974, ENSAPLT00000013331, ENSAPLT00000016966, ENSAPLT00000001229	DLX5, PTCH1, DLX6, ALX1
GO:0032496	response to lipopolysaccharide	biological_process	0.017486706	4	51	ENSAPLT00000011317, ENSAPLT00000011198, ENSAPLT00000001014, ENSAPLT00000007952	FER, PLCG2, F2R, HSF1
GO:0030317	sperm motility	biological_process	0.018628067	3	29	ENSAPLT00000012138, ENSAPLT00000010700, ENSAPLT00000016451	DDX4, DPCD, DNAJA1
GO:0000210	NAD+ diphosphatase activity	molecular_function	0.019572726	1	1	ENSAPLT00000010883	NUDT12
GO:0001519	peptide amidation	biological_process	0.019572726	1	1	ENSAPLT00000010027	PAM
GO:0001941	postsynaptic membrane organization	biological_process	0.019572726	1	1	ENSAPLT00000010670	GDNF
GO:0002001	renin secretion into blood stream	biological_process	0.019572726	1	1	ENSAPLT00000015651	PCSK5
GO:0002282	microglial cell activation involved in immune response	biological_process	0.019572726	1	1	ENSAPLT00000001385	CX3CR1
GO:0002316	follicular B cell differentiation	biological_process	0.019572726	1	1	ENSAPLT00000011198	PLCG2
GO:0002438	acute inflammatory response to antigenic stimulus	biological_process	0.019572726	1	1	ENSAPLT00000012265	IL31RA
GO:0004321	fatty-acyl-CoA synthase activity	molecular_function	0.019572726	1	1	ENSAPLT00000005525	SLC27A3
GO:0004504	peptidylglycine monooxygenase activity	molecular_function	0.019572726	1	1	ENSAPLT00000010027	PAM
GO:0004598	peptidylamidoglycolate lyase activity	molecular_function	0.019572726	1	1	ENSAPLT00000010027	PAM
GO:0004648	O-phospho-L-serine:2-oxoglutarate aminotransferase activity	molecular_function	0.019572726	1	1	ENSAPLT00000005603	PSAT1
GO:0004706	JUN kinase kinase kinase activity	molecular_function	0.019572726	1	1	ENSAPLT00000009828	MAP3K1
GO:0004903	growth hormone receptor activity	molecular_function	0.019572726	1	1	ENSAPLT00000012220	GHR
GO:0004915	interleukin-6 receptor activity	molecular_function	0.019572726	1	1	ENSAPLT00000012487	IL6ST
GO:0004921	interleukin-11 receptor activity	molecular_function	0.019572726	1	1	ENSAPLT00000012487	IL6ST
GO:0005169	neurotrophin TRKB receptor binding	molecular_function	0.019572726	1	1	ENSAPLT00000006486	EFNA5
GO:0005314	high-affinity glutamate transmembrane transporter activity	molecular_function	0.019572726	1	1	ENSAPLT00000007816	SLC1A3
GO:0006518	peptide metabolic process	biological_process	0.019572726	1	1	ENSAPLT00000010027	PAM
GO:0006742	NADP catabolic process	biological_process	0.019572726	1	1	ENSAPLT00000010883	NUDT12
GO:0007343	egg activation	biological_process	0.019572726	1	1	ENSAPLT00000010287	PLCZ1
GO:0007589	body fluid secretion	biological_process	0.019572726	1	1	ENSAPLT00000013225	EDN1
GO:0008746	NAD(P)+ transhydrogenase activity	molecular_function	0.019572726	1	1	ENSAPLT00000002474	NNT
GO:0008750	NAD(P)+ transhydrogenase (AB-specific) activity	molecular_function	0.019572726	1	1	ENSAPLT00000002474	NNT
GO:0008967	phosphoglycolate phosphatase activity	molecular_function	0.019572726	1	1	ENSAPLT00000016305	APTX
GO:0009341	beta-galactosidase complex	cellular_component	0.019572726	1	1	ENSAPLT00000001219	GLB1
GO:0009449	gamma-aminobutyric acid biosynthetic process	biological_process	0.019572726	1	1	ENSAPLT00000007816	SLC1A3
GO:0009798	axis specification	biological_process	0.019572726	1	1	ENSAPLT00000001777	unknow
GO:0010157	response to chlorate	biological_process	0.019572726	1	1	ENSAPLT00000013331	PTCH1
GO:0014733	regulation of skeletal muscle adaptation	biological_process	0.019572726	1	1	ENSAPLT00000007291	CMYA5
GO:0015977	carbon fixation	biological_process	0.019572726	1	1	ENSAPLT00000012138	DDX4
GO:0016005	phospholipase A2 activator activity	molecular_function	0.019572726	1	1	ENSAPLT00000014854	PLAA
GO:0016212	kynurenine-oxoglutarate transaminase activity	molecular_function	0.019572726	1	1	ENSAPLT00000016017	CCBL2
GO:0016716	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, another compound as one donor, and incorporation of one atom of oxygen	molecular_function	0.019572726	1	1	ENSAPLT00000014021	TYRP1
GO:0016984	ribulose-bisphosphate carboxylase activity	molecular_function	0.019572726	1	1	ENSAPLT00000012138	DDX4
GO:0017172	cysteine dioxygenase activity	molecular_function	0.019572726	1	1	ENSAPLT00000014042	CDO1
GO:0019677	NAD catabolic process	biological_process	0.019572726	1	1	ENSAPLT00000010883	NUDT12
GO:0019970	interleukin-11 binding	molecular_function	0.019572726	1	1	ENSAPLT00000012487	IL6ST
GO:0019981	interleukin-6 binding	molecular_function	0.019572726	1	1	ENSAPLT00000012487	IL6ST
GO:0021784	postganglionic parasympathetic fiber development	biological_process	0.019572726	1	1	ENSAPLT00000010670	GDNF
GO:0021919	BMP signaling pathway involved in spinal cord dorsal/ventral patterning	biological_process	0.019572726	1	1	ENSAPLT00000009928	CHRD
GO:0030167	proteoglycan catabolic process	biological_process	0.019572726	1	1	ENSAPLT00000002531	ADAMTS12
GO:0030185	nitric oxide transport	biological_process	0.019572726	1	1	ENSAPLT00000013225	EDN1
GO:0030366	molybdopterin synthase activity	molecular_function	0.019572726	1	1	ENSAPLT00000014571	MOCS2
GO:0030669	clathrin-coated endocytic vesicle membrane	cellular_component	0.019572726	1	1	ENSAPLT00000014021	TYRP1
GO:0031345	negative regulation of cell projection organization	biological_process	0.019572726	1	1	ENSAPLT00000012065	SPRY2
GO:0031583	phospholipase D-activating G-protein coupled receptor signaling pathway	biological_process	0.019572726	1	1	ENSAPLT00000013225	EDN1
GO:0031622	positive regulation of fever generation	biological_process	0.019572726	1	1	ENSAPLT00000014480	PTGS2
GO:0031651	negative regulation of heat generation	biological_process	0.019572726	1	1	ENSAPLT00000013899	ARRDC3
GO:0031707	endothelin A receptor binding	molecular_function	0.019572726	1	1	ENSAPLT00000013225	EDN1
GO:0032482	Rab protein signal transduction	biological_process	0.019572726	1	1	ENSAPLT00000013416	AATK
GO:0032730	positive regulation of interleukin-1 alpha production	biological_process	0.019572726	1	1	ENSAPLT00000013725	ISL1
GO:0033007	negative regulation of mast cell activation involved in immune response	biological_process	0.019572726	1	1	ENSAPLT00000011317	FER
GO:0033229	cysteine transmembrane transporter activity	molecular_function	0.019572726	1	1	ENSAPLT00000015672	SLC1A1
GO:0034103	regulation of tissue remodeling	biological_process	0.019572726	1	1	ENSAPLT00000006449	THBS4
GO:0034447	very-low-density lipoprotein particle clearance	biological_process	0.019572726	1	1	ENSAPLT00000016235	VLDLR
GO:0035529	NADH pyrophosphatase activity	molecular_function	0.019572726	1	1	ENSAPLT00000010883	NUDT12
GO:0035745	T-helper 2 cell cytokine production	biological_process	0.019572726	1	1	ENSAPLT00000012265	IL31RA
GO:0035887	aortic smooth muscle cell differentiation	biological_process	0.019572726	1	1	ENSAPLT00000014555	SMARCA2
GO:0036119	response to platelet-derived growth factor	biological_process	0.019572726	1	1	ENSAPLT00000011317	FER
GO:0038024	cargo receptor activity	molecular_function	0.019572726	1	1	ENSAPLT00000009668	DAB2
GO:0038025	reelin receptor activity	molecular_function	0.019572726	1	1	ENSAPLT00000016235	VLDLR
GO:0038028	insulin receptor signaling pathway via phosphatidylinositol 3-kinase	biological_process	0.019572726	1	1	ENSAPLT00000011317	FER
GO:0038095	Fc-epsilon receptor signaling pathway	biological_process	0.019572726	1	1	ENSAPLT00000011317	FER
GO:0038154	interleukin-11-mediated signaling pathway	biological_process	0.019572726	1	1	ENSAPLT00000012487	IL6ST
GO:0042089	cytokine biosynthetic process	biological_process	0.019572726	1	1	ENSAPLT00000015651	PCSK5
GO:0042313	protein kinase C deactivation	biological_process	0.019572726	1	1	ENSAPLT00000013225	EDN1
GO:0042659	regulation of cell fate specification	biological_process	0.019572726	1	1	ENSAPLT00000015323	LMO4
GO:0042883	cysteine transport	biological_process	0.019572726	1	1	ENSAPLT00000015672	SLC1A1
GO:0043056	forward locomotion	biological_process	0.019572726	1	1	ENSAPLT00000014588	TTN
GO:0043179	rhythmic excitation	biological_process	0.019572726	1	1	ENSAPLT00000013225	EDN1
GO:0043438	acetoacetic acid metabolic process	biological_process	0.019572726	1	1	ENSAPLT00000014021	TYRP1
GO:0043509	activin A complex	cellular_component	0.019572726	1	1	ENSAPLT00000004798	INHBA
GO:0044252	negative regulation of multicellular organismal metabolic process	biological_process	0.019572726	1	1	ENSAPLT00000013899	ARRDC3
GO:0045123	cellular extravasation	biological_process	0.019572726	1	1	ENSAPLT00000013907	ITGA1
GO:0046403	polynucleotide 3'-phosphatase activity	molecular_function	0.019572726	1	1	ENSAPLT00000016305	APTX
GO:0046439	L-cysteine metabolic process	biological_process	0.019572726	1	1	ENSAPLT00000014042	CDO1
GO:0046456	icosanoid biosynthetic process	biological_process	0.019572726	1	1	ENSAPLT00000013625	PLA2G4A
GO:0046880	regulation of follicle-stimulating hormone secretion	biological_process	0.019572726	1	1	ENSAPLT00000004798	INHBA
GO:0047315	kynurenine-glyoxylate transaminase activity	molecular_function	0.019572726	1	1	ENSAPLT00000016017	CCBL2
GO:0048144	fibroblast proliferation	biological_process	0.019572726	1	1	ENSAPLT00000011034	WNT7B
GO:0048880	sensory system development	biological_process	0.019572726	1	1	ENSAPLT00000013725	ISL1
GO:0050265	RNA uridylyltransferase activity	molecular_function	0.019572726	1	1	ENSAPLT00000016201	ZCCHC6
GO:0050674	urothelial cell proliferation	biological_process	0.019572726	1	1	ENSAPLT00000003284	FGF10
GO:0050677	positive regulation of urothelial cell proliferation	biological_process	0.019572726	1	1	ENSAPLT00000003284	FGF10
GO:0050865	regulation of cell activation	biological_process	0.019572726	1	1	ENSAPLT00000015323	LMO4
GO:0050904	diapedesis	biological_process	0.019572726	1	1	ENSAPLT00000011317	FER
GO:0051171	regulation of nitrogen compound metabolic process	biological_process	0.019572726	1	1	ENSAPLT00000001777	unknow
GO:0051267	CP2 mannose-ethanolamine phosphotransferase activity	molecular_function	0.019572726	1	1	ENSAPLT00000009831	PIGG
GO:0060419	heart growth	biological_process	0.019572726	1	1	ENSAPLT00000014588	TTN
GO:0060436	bronchiole morphogenesis	biological_process	0.019572726	1	1	ENSAPLT00000003284	FGF10
GO:0060482	lobar bronchus development	biological_process	0.019572726	1	1	ENSAPLT00000011034	WNT7B
GO:0060496	mesenchymal-epithelial cell signaling involved in lung development	biological_process	0.019572726	1	1	ENSAPLT00000003284	FGF10
GO:0060560	developmental growth involved in morphogenesis	biological_process	0.019572726	1	1	ENSAPLT00000011034	WNT7B
GO:0060661	submandibular salivary gland formation	biological_process	0.019572726	1	1	ENSAPLT00000003284	FGF10
GO:0060879	semicircular canal fusion	biological_process	0.019572726	1	1	ENSAPLT00000003284	FGF10
GO:0060913	cardiac cell fate determination	biological_process	0.019572726	1	1	ENSAPLT00000013725	ISL1
GO:0061115	lung proximal/distal axis specification	biological_process	0.019572726	1	1	ENSAPLT00000003284	FGF10
GO:0061485	memory T cell proliferation	biological_process	0.019572726	1	1	ENSAPLT00000013317	DOCK8
GO:0061580	colon epithelial cell migration	biological_process	0.019572726	1	1	ENSAPLT00000009736	ARSB
GO:0070022	transforming growth factor beta receptor homodimeric complex	cellular_component	0.019572726	1	1	ENSAPLT00000009668	DAB2
GO:0070075	tear secretion	biological_process	0.019572726	1	1	ENSAPLT00000003284	FGF10
GO:0070106	interleukin-27-mediated signaling pathway	biological_process	0.019572726	1	1	ENSAPLT00000012487	IL6ST
GO:0070352	positive regulation of white fat cell proliferation	biological_process	0.019572726	1	1	ENSAPLT00000003284	FGF10
GO:0071879	positive regulation of adrenergic receptor signaling pathway	biological_process	0.019572726	1	1	ENSAPLT00000013899	ARRDC3
GO:0072060	outer medullary collecting duct development	biological_process	0.019572726	1	1	ENSAPLT00000011034	WNT7B
GO:0072108	positive regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis	biological_process	0.019572726	1	1	ENSAPLT00000010670	GDNF
GO:0072236	metanephric loop of Henle development	biological_process	0.019572726	1	1	ENSAPLT00000011034	WNT7B
GO:0090032	negative regulation of steroid hormone biosynthetic process	biological_process	0.019572726	1	1	ENSAPLT00000007678	PDE8B
GO:0090327	negative regulation of locomotion involved in locomotory behavior	biological_process	0.019572726	1	1	ENSAPLT00000013899	ARRDC3
GO:0098506	polynucleotide 3' dephosphorylation	biological_process	0.019572726	1	1	ENSAPLT00000016305	APTX
GO:0098542	defense response to other organism	biological_process	0.019572726	1	1	ENSAPLT00000012265	IL31RA
GO:1900044	regulation of protein K63-linked ubiquitination	biological_process	0.019572726	1	1	ENSAPLT00000008063	SASH1
GO:1900134	negative regulation of renin secretion into blood stream	biological_process	0.019572726	1	1	ENSAPLT00000001014	F2R
GO:1901258	positive regulation of macrophage colony-stimulating factor production	biological_process	0.019572726	1	1	ENSAPLT00000013725	ISL1
GO:1901360	organic cyclic compound metabolic process	biological_process	0.019572726	1	1	ENSAPLT00000009693	RNF180
GO:1901509	regulation of endothelial tube morphogenesis	biological_process	0.019572726	1	1	ENSAPLT00000002531	ADAMTS12
GO:1901563	response to camptothecin	biological_process	0.019572726	1	1	ENSAPLT00000013286	PRKAA1
GO:1901898	negative regulation of relaxation of cardiac muscle	biological_process	0.019572726	1	1	ENSAPLT00000005615	PDE4D
GO:1902203	negative regulation of hepatocyte growth factor receptor signaling pathway	biological_process	0.019572726	1	1	ENSAPLT00000002531	ADAMTS12
