GO_Accession	GO_term_name	P-value	Number	Size	gene_transcript_ID	gene_symbol
GO:0060078	regulation of postsynaptic membrane potential	0.038763588	1	2	ENSAPLT00000004160	GRIN2A
GO:0060164	regulation of timing of neuron differentiation	0.038763588	1	2	ENSAPLT00000003302	SOX5
GO:0060166	olfactory pit development	0.038763588	1	2	ENSAPLT00000016974	DLX5
GO:0060279	positive regulation of ovulation	0.038763588	1	2	ENSAPLT00000004798	INHBA
GO:0060437	lung growth	0.038763588	1	2	ENSAPLT00000012065	SPRY2
GO:0060535	trachea cartilage morphogenesis	0.038763588	1	2	ENSAPLT00000011034	WNT7B
GO:0060585	positive regulation of prostaglandin-endoperoxide synthase activity	0.038763588	1	2	ENSAPLT00000013225	EDN1
GO:0060667	branch elongation involved in salivary gland morphogenesis	0.038763588	1	2	ENSAPLT00000003284	FGF10
GO:0060689	cell differentiation involved in salivary gland development	0.038763588	1	2	ENSAPLT00000009375	CLCN2
GO:0060915	mesenchymal cell differentiation involved in lung development	0.038763588	1	2	ENSAPLT00000003284	FGF10
GO:0061005	cell differentiation involved in kidney development	0.038763588	1	2	ENSAPLT00000013331	PTCH1
GO:0061033	secretion by lung epithelial cell involved in lung growth	0.038763588	1	2	ENSAPLT00000003284	FGF10
GO:0070104	negative regulation of interleukin-6-mediated signaling pathway	0.038763588	1	2	ENSAPLT00000012487	IL6ST
GO:0070384	Harderian gland development	0.038763588	1	2	ENSAPLT00000003284	FGF10
GO:0071236	cellular response to antibiotic	0.038763588	1	2	ENSAPLT00000013625	PLA2G4A
GO:0071338	positive regulation of hair follicle cell proliferation	0.038763588	1	2	ENSAPLT00000003284	FGF10
GO:0071657	positive regulation of granulocyte colony-stimulating factor production	0.038763588	1	2	ENSAPLT00000013725	ISL1
GO:0072053	renal inner medulla development	0.038763588	1	2	ENSAPLT00000011034	WNT7B
GO:0072054	renal outer medulla development	0.038763588	1	2	ENSAPLT00000011034	WNT7B
GO:0072061	inner medullary collecting duct development	0.038763588	1	2	ENSAPLT00000011034	WNT7B
GO:0072203	cell proliferation involved in metanephros development	0.038763588	1	2	ENSAPLT00000013331	PTCH1
GO:0090285	negative regulation of protein glycosylation in Golgi	0.038763588	1	2	ENSAPLT00000005027	ACER2
GO:0097154	GABAergic neuron differentiation	0.038763588	1	2	ENSAPLT00000004798	INHBA
GO:1902774	late endosome to lysosome transport	0.038763588	1	2	ENSAPLT00000005433	VPS41
GO:1904237	positive regulation of substrate-dependent cell migration, cell attachment to substrate	0.038763588	1	2	ENSAPLT00000010574	FBLN1
GO:2000370	positive regulation of clathrin-mediated endocytosis	0.038763588	1	2	ENSAPLT00000009668	DAB2
GO:2001181	positive regulation of interleukin-10 secretion	0.038763588	1	2	ENSAPLT00000004801	CD274
GO:2001202	negative regulation of transforming growth factor-beta secretion	0.038763588	1	2	ENSAPLT00000010574	FBLN1
GO:0008284	positive regulation of cell proliferation	0.040257209	9	233	ENSAPLT00000013725, ENSAPLT00000003284, ENSAPLT00000005027, ENSAPLT00000011034, ENSAPLT00000012265, ENSAPLT00000010670, ENSAPLT00000013225, ENSAPLT00000011401, ENSAPLT00000012487	ISL1, FGF10, ACER2, WNT7B, IL31RA, GDNF, EDN1, CRLF1, IL6ST
GO:0010628	positive regulation of gene expression	0.040326066	8	197	ENSAPLT00000002201, ENSAPLT00000011034, ENSAPLT00000004798, ENSAPLT00000013286, ENSAPLT00000012065, ENSAPLT00000010574, ENSAPLT00000015756, ENSAPLT00000012953	NFIL3, WNT7B, INHBA, PRKAA1, SPRY2, FBLN1, DDX58, TLE1
GO:0048538	thymus development	0.040421968	3	39	ENSAPLT00000003284, ENSAPLT00000015323, ENSAPLT00000001777	FGF10, LMO4, unknow
GO:0048167	regulation of synaptic plasticity	0.04279604	2	17	ENSAPLT00000005954, ENSAPLT00000004160	PLK2, GRIN2A
GO:0003007	heart morphogenesis	0.043086818	3	40	ENSAPLT00000013725, ENSAPLT00000013331, ENSAPLT00000014588	ISL1, PTCH1, TTN
GO:0043588	skin development	0.043086818	3	40	ENSAPLT00000013899, ENSAPLT00000001777, ENSAPLT00000007126	ARRDC3, unknow, SLITRK5
GO:0007612	learning	0.045837418	3	41	ENSAPLT00000004834, ENSAPLT00000005940, ENSAPLT00000004160	SLC24A2, AMPH, GRIN2A
GO:0000281	mitotic cytokinesis	0.047536568	2	18	ENSAPLT00000005018, ENSAPLT00000001777	SNX18, unknow
